Log file         : logs/cgpsa_run_20260323_110842.txt
Loaded Benchmark : ../../src/plu_files/benchmarks/add4.plu
Inputs / Outputs : 9 / 5

--- Starting 1+lambda Evolution via CGP-SA Hybrid ---
Function set     : Reduced  {BUFa, NOTa, AND, OR} (4 gates)
max_generations  : 100000000
max_nodes (n_c)  : 5000
levels_back      : 5000
total_dimensions : 15005
(1 + lambda)     : 1 + 5
mutation_rate    : 0.02
Temp max         : 5
Temp min         : 0.1
Cooling rate     : 0.95

Total_dimensions: 15005
Generation 355 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 356 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 357 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 358 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 359 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 360 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 361 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 362 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 363 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 364 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 365 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 366 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 367 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 368 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 369 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 370 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 371 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 372 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 373 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 374 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 375 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 376 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 377 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 378 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 379 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 380 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 381 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 382 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 383 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 384 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 385 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 386 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 387 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 388 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 389 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 390 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 391 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 392 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 393 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 394 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 395 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 396 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 397 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 398 | Best fitness: 160000 | Best Hamming Distance: 960
Generation 399 | Best fitness: 160000 | Best Hamming Distance: 960
